MD(m)	TVD(m)	TVDSS(m)	TWT(ms)	Vint(m/s)
1229.290039	1229.290039	1200.6500244	1194.0350342	2221.5285645
1229.4399414	1229.4399414	1200.8	1194.1690674	2237.4946289
1229.5899658	1229.5899658	1200.9499512	1194.3049316	2207.8876953
1229.74	1229.74	1201.1	1194.440918	2205.9526367
1229.8900146	1229.8900146	1201.25	1194.5780029	2188.688721
1230.040039	1230.040039	1201.4	1194.7180176	2143.9455566
1230.1899414	1230.1899414	1201.5499268	1194.85791	2142.2009277
1230.3399658	1230.3399658	1201.7	1194.9980469	2142.12085
1230.49	1230.49	1201.8499756	1195.137939	2143.9455566
1230.6400146	1230.6400146	1202	1195.2769775	2158.6552734
1230.790039	1230.790039	1202.1500244	1195.415039	2173.5681152
1230.9399414	1230.9399414	1202.3	1195.552002	2188.8110352
1231.0899658	1231.0899658	1202.4499512	1195.6900635	2173.5681152
1231.24	1231.24	1202.6	1195.82605	2205.9526367
1231.3900146	1231.3900146	1202.75	1195.9630127	2190.5935059
1231.540039	1231.540039	1202.9	1196.1009521	2175.4467773
1231.6899414	1231.6899414	1203.0499268	1196.2409668	2140.37793
1231.8399658	1231.8399658	1203.2	1196.3839111	2099.2426758
1232.1400146	1232.1400146	1203.5	1196.6700439	2097.4934082
1232.290039	1232.290039	1203.6500244	1196.8129883	2099.2426758
1232.4399414	1232.4399414	1203.8	1196.9570313	2081.9072266
1232.5899658	1232.5899658	1203.9499512	1197.1009521	2083.602539
1233.040039	1233.040039	1204.4	1197.5310059	2093.4228516
1233.1899414	1233.1899414	1204.5499268	1197.6729736	2111.623779
1233.3399658	1233.3399658	1204.7	1197.8129883	2142.12085
1233.49	1233.49	1204.8499756	1197.9520264	2158.6552734
1233.6400146	1233.6400146	1205	1198.092041	2143.9455566
1233.790039	1233.790039	1205.1500244	1198.2320557	2142.12085
1233.9399414	1233.9399414	1205.3	1198.3719482	2142.2009277
1234.24	1234.24	1205.6	1198.6540527	2127.6347656
1234.3900146	1234.3900146	1205.75	1198.7949219	2129.4348145
1234.540039	1234.540039	1205.9	1198.9370117	2111.5705566
1234.6899414	1234.6899414	1206.0499268	1199.0780029	2127.7021484
1234.8399658	1234.8399658	1206.2	1199.2180176	2142.12085
1234.99	1234.99	1206.3499756	1199.3570557	2158.6552734
1235.1400146	1235.1400146	1206.5	1199.4969482	2143.9455566
1235.290039	1235.290039	1206.6500244	1199.6380615	2127.6347656
1235.4399414	1235.4399414	1206.8	1199.780029	2111.623779
1235.74	1235.74	1207.1	1200.0620117	2127.6347656
1235.8900146	1235.8900146	1207.25	1200.2020264	2143.9455566
1236.040039	1236.040039	1207.4	1200.3409424	2158.6552734
1236.1899414	1236.1899414	1207.5499268	1200.47998	2156.8986816
1236.3399658	1236.3399658	1207.7	1200.6209717	2127.6347656
1236.49	1236.49	1207.8499756	1200.762939	2113.3435059
1236.790039	1236.790039	1208.1500244	1201.0450439	2127.6347656
1236.9399414	1236.9399414	1208.3	1201.1829834	2173.6767578
1237.0899658	1237.0899658	1208.4499512	1201.31897	2205.9526367
1237.3900146	1237.3900146	1208.75	1201.5869141	2239.31665
1237.540039	1237.540039	1208.9	1201.724	2188.688721
1237.6899414	1237.6899414	1209.0499268	1201.8630371	2156.8986816
1237.8399658	1237.8399658	1209.2	1202.0039063	2129.4348145
1237.99	1237.99	1209.3499756	1202.14502	2127.6347656
1238.1400146	1238.1400146	1209.5	1202.2880859	2097.4934082
1238.290039	1238.290039	1209.6500244	1202.4300537	2113.3435059
1238.4399414	1238.4399414	1209.8	1202.5710449	2125.9035645
1238.5899658	1238.5899658	1209.9499512	1202.7120361	2127.6347656
1238.74	1238.74	1210.1	1202.8510742	2158.6552734
1238.8900146	1238.8900146	1210.25	1202.9890137	2175.4467773
